No.,Name,Username,Short Bio
84,Elena Petrova,@elena.p.design,"UX/UI designer. Minimalist interfaces and typography."
85,Oliver Fischer,@oliver_f_music,"Electronic music producer & modular synth geek."
86,Sophie Martin,@sophie_m_lyon,"Pastry chef. Croissants, macarons, and culinary photos."
87,Lars Johansson,@lars_j_stockholm,"Software dev. Cold-water swimmer and heavy metal fan."
88,Camila Silva,@camila_silva_pt,"Marine biology researcher. Surfer & conservationist."
89,Pieter van der Merwe,@pieter_v_ams,"Architecture student. Bicycle commuter & urbanist."
90,Agnieszka Kowalska,@aga_k_warsaw,"Graphic designer & indie board game illustrator."
91,Javier García,@javier_g_bcn,"Frontend web dev. Tapas lover & beach volleyballer."
92,Freja Nielsen,@freja_n_cph,"Sociology student. Obsessed with Nordic design & hygge."
93,Marco Colombo,@marco_c_roma,"Art historian & city tour guide. Exploring ancient ruins."
94,Greta Weber,@greta_w_munich,"Environmental scientist. Alpine climber and skier."
95,Tomasz Nowak,@tomasz_n_dev,"Unity game developer coding indie RPGs."
96,Emilie Dubois,@emilie_d_photo,"Documentary photographer capturing daily street life."
97,Niklas Lindqvist,@niklas_l_hel,"Cybersecurity analyst. Sauna enthusiast & PC gamer."
98,Clara Santos,@clara_s_porto,"Winemaker and agricultural specialist. Organic wine."
99,Florian Schneider,@florian_s_vienna,"Classical cellist. Vinyl collector & coffeehouse regular."
100,Zsofia Toth,@zsofia_t_bp,"Biomedical engineering grad student & amateur runner."
101,Aleksander Novak,@aleks_novak_lj,"Landscape architect designing urban green spaces."
102,Hanna Svensson,@hanna_s_gotg,"Digital marketing consultant and ceramicist."
103,Luca Moretti,@luca_m_firenze,"Leather craftsman and bespoke bag designer."
104,Amélie Lefevre,@amelie_l_bordeaux,"Sommelier and culinary blogger."
105,Felix Wagner,@felix_w_leipzig,"Indie bookstore owner and philosophy reader."
106,Katarina Horvat,@katarina_h_zg,"High school math teacher & weekend trail hiker."
107,Sven Eriksen,@sven_e_oslo,"Urban planner focused on sustainable transport."
108,Isabelle Rousseau,@isa_rousseau,"Policy advocate and human rights researcher."
109,Dmitry Ivanov,@dmitry_i_tallinn,"Blockchain developer & e-residency enthusiast."
110,Elisa Conti,@elisa_c_torino,"Automotive interior design engineer."
111,Magnus Karlsson,@magnus_k_malmo,"Podcast host discussing history & folklore."
112,Lucia Navarro,@lucia_n_valencia,"Marine conservationist and scuba instructor."
113,Bastian Bauer,@bastian_b_kiel,"Naval architect and sailing enthusiast."
114,Anouk de Jong,@anouk_dj_rdam,"Port logistics analyst & modern art lover."
115,Jakub Dvorak,@jakub_d_prague,"Software engineer and craft beer brewer."
116,Omar Al-Sayed,@omar_alsayed_,"Software engineer building fintech apps. Mint tea fan."
117,Layla Mahmoud,@layla.m.design,"Interior architect blending modern and traditional art."
118,Tariq Hassan,@tariq_h_tech,"Cybersecurity researcher. Chess fan & open-source coder."
119,Nour Kanaan,@nour_kanaan_art,"Graphic design student & Arabic calligraphy artist."
120,Youssef Adel,@youssef_a_dev,"Full-stack developer. React, Node.js, and coastal runs."
121,Reem Al-Ghamdi,@reem_alghamdi,"Biomedical student interested in AI healthcare tech."
122,Ziad Haddad,@ziad_haddad_,"Documentary filmmaker exploring urban culture."
123,Mariam Fathy,@mariam_f_reads,"Literature grad student & book club founder."
124,Ali Al-Mansoor,@ali_almansoor,"Solar energy engineer & weekend desert camper."
125,Dana Suleiman,@dana_s_photo,"Architectural photographer capturing urban alleys."
126,Faisal Al-Sabah,@faisal_alsabah,"Fintech founder passionate about digital banking & cycling."
127,Yasmin Nabil,@yasmin_nabil_,"Child psychologist advocating for mental health awareness."
128,Khaled Barakat,@khaled_b_music,"Oud player preserving traditional folk melodies."
129,Sara Al-Harthi,@sara_alharthi,"Urban planner focusing on pedestrian-friendly spaces."
130,Hassan Tawfik,@hassan_t_builds,"Civil engineer. Gym regular and football fanatic."
131,Lina Al-Khatib,@lina_alkhatib,"Environmental journalist reporting on water conservation."
132,Ahmed Bakr,@ahmed_bakr_ai,"Data scientist specializing in natural language AI models."
133,Rania Al-Mulla,@rania_almulla,"Contemporary art gallery curator showcasing local artists."
134,Kareem El-Masry,@kareem_elmasry,"Indie game developer building adventure games."
135,Huda Al-Naimi,@huda_alnaimi,"Pediatrician and public health researcher."
136,Samir Qasim,@samir_qasim_,"Specialty coffee roaster and local cafe owner."
137,Farah Al-Zahrani,@farah_alzahrani,"UX researcher focusing on web accessibility."
138,Mahmoud Radwan,@mahmoud_r_dev,"DevOps engineer and open-source Linux contributor."
139,Amina Al-Fassi,@amina_alfassi,"Traditional ceramics restorer and museum archivist."
140,Wael Al-Khouri,@wael_alkhouri,"Architect designing eco-friendly desert resorts."
141,Salma Ezzat,@salma_ezzat_rx,"Pharmacist and botanical skincare formulator."
142,Ibrahim Al-Dosari,@ibrahim_aldosari,"Aerospace student and university astronomy club lead."
143,Maya Al-Shami,@maya_alshami,"Human rights advocate and NGO coordinator."
144,Mustafa Dawood,@mustafa_d_photo,"Wildlife photographer capturing migratory birds."
145,Zainab Al-Balushi,@zainab_albalushi,"Marine biologist studying coral reef resilience."
146,Rami Al-Hamad,@rami_alhamad,"Cloud systems architect & tech startup mentor."
147,Dina Al-Kuwari,@dina_alkuwari,"Museum education director building interactive exhibits."
148,Hazem El-Sayed,@hazem_elsayed,"Mechanical engineer & high school robotics coach."
149,Noha Al-Otaibi,@noha_alotaibi,"Sustainable fashion designer using organic textiles."
150,Bassam Al-Rawi,@bassam_alrawi,"Sports analytics writer covering local football leagues."
151,Charles Black,@charles_black_,"Corporate lawyer turned craft brewery co-owner."
152,Paisley Daniels,@paisley_d_99,"Kindergarten teacher & children’s book illustrator."
153,Thomas Palmer,@tommy_palmer_02,"College football fan and tailgate griller."
154,Everly Mills,@everly_mills_,"Floral designer creating arrangements for events."
155,Caleb Nichols,@caleb_n_tech,"IT support specialist. Yes I tried restarting it."
156,Anna Grant,@anna_grant_rx,"Clinical researcher working in oncology trials."
157,Josiah Knight,@josiah_knight_,"Amateur astronomer and astrophotographer."
158,Caroline Ferguson,@caroline_f_94,"Event planner specializing in outdoor weddings."
159,Hudson Rose,@hudson_rose_builds,"Custom furniture maker using reclaimed wood."
160,Genesis Stone,@genesis_stone_,"Spoken word poet and creative writing host."
161,Robert Hawkins,@rob_hawkins_88,"High school math teacher & chess club advisor."
162,Emilia Dunn,@emilia_dunn_art,"Calligrapher and bespoke stationery designer."
163,Jeremiah Perkins,@j_perkins_96,"Cybersecurity student learning ethical hacking."
164,Kennedy Hudson,@kennedy_h_97,"PR consultant & social media brand manager."
165,Easton Spencer,@easton_spencer_,"Mountain guide and rock climbing instructor."
166,Samantha Gardner,@sam_gardner_eats,"Food blogger focusing on budget-friendly meals."
167,Colton Stephens,@colton_s_00,"Automotive technician specializing in hybrids."
168,Allison Payne,@allie_payne_,"Yoga teacher and meditation guide."
169,Jordan Pierce,@jordan_pierce_95,"UX research lead making digital tools human."
170,Madelyn Berry,@madelyn_b_reads,"Historical fiction fan & antique bookstore browser."
171,Ian Matthews,@ian_m_music,"Drummer in a local garage rock band."
172,Serenity Arnold,@serenity_arnold_,"Herbalist and natural skincare creator."
173,Adam Wagner,@adam_wagner_dev,"Backend software engineer coding in Go & Python."
174,Autumn Willis,@autumn_willis_98,"Elementary school art teacher & messy painter."
175,Jose Ray,@jose_ray_photo,"Sports photographer capturing local athletics."
176,Hailey Watkins,@hailey_watkins_,"Digital marketer and SEO specialist."
177,Nolan Olson,@nolan_olson_89,"Civil engineer focusing on urban public transit."
178,Ariana Carroll,@ariana_c_music,"Vocal coach and choir director."
179,Cooper Duncan,@cooper_d_builds,"Residential architect specializing in eco homes."
180,Nevaeh Snyder,@nevaeh_snyder_,"College student studying marine biology."
181,Chase Hart,@chase_hart_92,"Firefighter and paramedic. Coffee is my fuel."
182,Ruby Cunningham,@ruby_c_art,"Textile artist working with weaving & macramé."
183,Gavin Bradley,@gavin_b_01,"Computer science major & hackathon regular."
184,Eva Lane,@eva_lane_rx,"Dental hygienist with a passion for prevention."
185,Tyler Andrews,@tyler_andrews_,"Real estate photographer & drone videographer."
186,Sadie Ruiz,@sadie_ruiz_99,"Vet tech & dog foster mom. Rescue advocate."
187,Parker Harper,@parker_h_94,"Financial planner & educator for young pros."
188,Piper Fox,@piper_fox_reads,"Thriller & mystery reviewer guessing plot twists."
189,Kevin Riley,@kevin_riley_dev,"Systems administrator keeping servers online 24/7."
190,Lydia Armstrong,@lydia_a_music,"Cellist playing in a regional symphony orchestra."
191,Zachary Carpenter,@zach_carpenter_,"Woodworking hobbyist building custom cutting boards."
192,Alexa Weaver,@alexa_weaver_96,"Social worker dedicated to community programs."
193,Ayden Greene,@ayden_greene_00,"Mechanical engineering student & robotics lead."
194,Kaylee Lawrence,@kaylee_l_art,"Graphic illustrator creating merch designs."
195,Jason Elliott,@jason_elliott_87,"High school biology teacher & amateur naturalist."
196,Taylor Sims,@taylor_sims_tx,"Barrel racer and rodeo enthusiast."
197,Justin Austin,@justin_austin_,"IT consultant helping small businesses upgrade."
198,Mackenzie Peters,@mack_peters_98,"Pediatric physical therapist helping kids move."
199,Brandon Kelley,@brandon_k_fitness,"CrossFit coach and competitive weightlifter."
200,Reagan Franklin,@reagan_f_reads,"Law student running on espresso and briefs."
201,Austin Lawson,@austin_lawson_93,"Craft beer brewer experimenting with IPA flavors."
202,Madeline Fields,@maddy_fields_,"Landscape designer creating native gardens."
203,Brody Gutierrez,@brody_g_02,"College baseball player & sports science major."
204,Faith Ryan,@faith_ryan_music,"Worship leader and acoustic guitar teacher."
205,Xavier Schmidt,@xavier_s_dev,"Frontend developer obsessed with clean CSS."
206,Morgan Carr,@morgan_carr_95,"ICU nurse advocating for healthcare mental health."
207,Jace Vasquez,@jace_v_photo,"Concert and music festival photographer."
208,Eliana Castillo,@eliana_c_art,"Mural artist brightening city walls with color."
209,Bryson Wheeler,@bryson_w_91,"Commercial airline pilot sharing views from 35k ft."
210,Juliana Chapman,@juliana_c_eats,"Bakery owner specializing in sourdough & pastries."
211,Céline Mercier,@celine_m_nice,"Perfumer and botanical scent designer from Grasse."
212,Andreas Papadopoulos,@andreas_p_ath,"Archaeologist researching maritime trade routes."
213,Maja Kovac,@maja_k_bg,"UI/UX designer working with remote startups."
214,Henrik Olsen,@henrik_o_bergen,"Fjord landscape photographer and hiking guide."
215,Valeria Romano,@valeria_r_napoli,"Neapolitan pizza maker and food heritage fan."
216,Timo Nieminen,@timo_n_tam,"Mechanical engineer and winter rally driving fan."
217,Ines Fernandes,@ines_f_faro,"Surfer and coastal environmental researcher."
218,Stefan Meyer,@stefan_m_zrh,"Fintech product manager & weekend snowboarder."
219,Barbara Lis,@barbara_l_gdansk,"Maritime history museum curator in Gdańsk."
220,Gabriel Hernandez,@gabriel_h_madrid,"Sports journalist covering European football."
221,Nora Iversen,@nora_i_trondheim,"Marine acoustics researcher studying whales."
222,Lukas Zimmermann,@lukas_z_bern,"Precision watchmaker and horology instructor."
223,Simona Greco,@simona_g_palermo,"Mediterranean cuisine author & tour leader."
224,Wojciech Kaminski,@wojciech_k_wroc,"Cloud systems engineer and tabletop wargamer."
225,Hélène Bonnet,@helene_b_strasbourg,"Translator and polyglot speaking 5 languages."
226,Jens Lindberg,@jens_l_goteborg,"Naval architect working on eco-friendly vessels."
227,Alessa Moretti,@alessa_m_milano,"Fashion stylist and sustainable textile researcher."
228,Victor Novak,@victor_n_prague,"Indie game audio composer and synth enthusiast."
229,Elin Carlsson,@elin_c_stockholm,"UX researcher designing accessible fintech apps."
230,Mathieu Dupont,@mathieu_d_bordeaux,"Sommelier and organic vineyard consultant."
231,Sherif Osman,@sherif_osman_tx,"Supply chain software developer in Suez."
232,Mona Al-Sabti,@mona_alsabti,"Speech therapist working with bilingual kids."
233,Amr Al-Khalidi,@amr_alkhalidi,"Historical fiction author & heritage researcher."
234,Ghada El-Naby,@ghada_elnaby,"Renewable energy consultant for wind installations."
235,Fouad Al-Majed,@fouad_almajed,"Blockchain security researcher & privacy advocate."
236,Ruba Al-Hasan,@ruba_alhasan,"Landscape architect designing water-efficient parks."
237,Tamer El-Shenawy,@tamer_elshenawy,"AI ethicist exploring tech impact on society."
238,Lulwa Al-Thani,@lulwa_althani,"Children's book author & storytelling app creator."
239,Adel Al-Ghamdi,@adel_alghamdi,"Environmental engineer for industrial recycling."
240,Nadine Al-Saadi,@nadine_alsaadi,"Digital marketing strategist for eco-tourism."
241,Marwan El-Sayed,@marwan_elsayed_,"Mobile app developer building transit tools."
242,Shaikha Al-Mahmoud,@shaikha_almahmoud,"EdTech researcher developing digital classrooms."
243,Bilal Al-Khatib,@bilal_alkhatib,"Sound engineer and studio acoustic designer."
244,Heba Al-Mansoor,@heba_almansoor,"Culinary historian documenting Levantine recipes."
245,Yasser Radwan,@yasser_r_dev,"Cloud DevOps engineer and open-source mentor."
246,Dalal Al-Kuwari,@dalal_alkuwari,"Museum curator specializing in Islamic art."
247,Karim Barakat,@karim_barakat_,"Indie filmmaker producing shorts on urban life."
248,Lamis Al-Shami,@lamis_alshami,"Human rights lawyer and community organizer."
249,Tarek Dawood,@tarek_dawood_,"Solar energy startup founder and desert hiker."
250,Reem Al-Balushi,@reem_albalushi_,"Marine conservationist studying Arabian reefs."
